start_dt,date,week,month,dow,dow_group,time,slot_time,slot_key,report_instructor,class_kind,checked_in,membership_checked_in,credit_checked_in,capacity,util,membership_rate,credit_rate,late_cancel,no_show,total_dropout,slot_dropout_baseline,slot_baseline_util,slot_trailing_3m_util,slot_prev_month_util,day_baseline_util,studio_baseline_util,delta_vs_slot,delta_vs_day,delta_vs_studio,delta_vs_trailing_3m,delta_vs_prev_month,slot_expected_riders,slot_lift_riders,slot_lift_util
2026-04-09 06:00:00,2026-04-09,2026-04-06/2026-04-12,2026-04,Thursday,TueThu,06:00,06:00,TueThu | 06:00,Madalyn Richards,spin,21,15,6,41,0.5121951219512195,0.7142857142857143,0.2857142857142857,2,1,3,2.2941176470588234,0.5032281205164992,0.5562851782363978,0.6476964769647696,0.6754641427011285,0.6836699487778337,0.00896700143472029,-0.163269020749909,-0.1714748268266142,-0.04409005628517826,-0.1355013550135501,20.632352941176467,0.36764705882353255,0.00896700143472029
2026-04-09 07:00:00,2026-04-09,2026-04-06/2026-04-12,2026-04,Thursday,TueThu,07:00,07:00,TueThu | 07:00,Jordyn Toonen,spinco express,26,16,10,41,0.6341463414634146,0.6153846153846154,0.38461538461538464,1,0,1,2.75,0.507532281205165,0.5881801125703565,0.6693766937669376,0.6754641427011285,0.6836699487778337,0.12661406025824962,-0.04131780123771389,-0.04952360731441907,0.045966228893058125,-0.035230352303523005,20.808823529411764,5.1911764705882355,0.12661406025824962
2026-04-09 17:30:00,2026-04-09,2026-04-06/2026-04-12,2026-04,Thursday,TueThu,17:30,17:30,TueThu | 17:30,Keira Else,spin,36,15,21,41,0.8780487804878049,0.4166666666666667,0.5833333333333334,7,0,7,3.5294117647058822,0.7510760401721663,0.8771106941838649,0.910569105691057,0.6754641427011285,0.6836699487778337,0.12697274031563854,0.20258463778667635,0.19437883170997117,0.0009380863039399889,-0.0325203252032521,30.79411764705882,5.205882352941181,0.12697274031563854
2026-04-09 18:35:00,2026-04-09,2026-04-06/2026-04-12,2026-04,Thursday,TueThu,18:35,18:35,TueThu | 18:35,Micayah Coutinho,spin,38,22,16,41,0.926829268292683,0.5789473684210527,0.42105263157894735,4,1,5,2.8676470588235294,0.813845050215208,0.8649155722326454,0.8943089430894309,0.6754641427011285,0.6836699487778337,0.11298421807747494,0.25136512559155444,0.24315931951484926,0.061913696060037604,0.0325203252032521,33.36764705882353,4.632352941176471,0.11298421807747494
2026-04-10 06:00:00,2026-04-10,2026-04-06/2026-04-12,2026-04,Friday,MWF,06:00,06:00,MWF | 06:00,Kira Rothwell,spin,33,22,11,41,0.8048780487804879,0.6666666666666666,0.3333333333333333,4,2,6,2.95,0.6090243902439024,0.6901779828609097,0.7636022514071296,0.6957735989573636,0.6836699487778337,0.19585365853658543,0.10910444982312428,0.12120810000265414,0.11470006591957815,0.04127579737335829,24.97,8.030000000000001,0.19585365853658543
2026-04-10 09:30:00,2026-04-10,2026-04-06/2026-04-12,2026-04,Friday,MWF,09:30,09:30,MWF | 09:30,Sydney Reed,spin,34,17,17,41,0.8292682926829268,0.5,0.5,1,4,5,2.5217391304347827,0.5935843054082715,0.7182506307821699,0.7652439024390244,0.6957735989573636,0.6836699487778337,0.23568398727465534,0.13349469372556322,0.14559834390509308,0.1110176619007569,0.06402439024390238,24.33695652173913,9.663043478260871,0.23568398727465534
2026-04-10 16:45:00,2026-04-10,2026-04-06/2026-04-12,2026-04,Friday,MWF,16:45,16:45,MWF | 16:45,Micayah Coutinho,spin,39,28,11,41,0.9512195121951219,0.717948717948718,0.28205128205128205,4,0,4,3.740740740740741,0.7317073170731708,0.8625277161862528,0.9390243902439024,0.6957735989573636,0.6836699487778337,0.21951219512195108,0.25544591323775834,0.2675495634172882,0.08869179600886912,0.012195121951219523,30.000000000000004,8.999999999999996,0.21951219512195108
2026-04-10 18:00:00,2026-04-10,2026-04-06/2026-04-12,2026-04,Friday,MWF,18:00,18:35,MWF | 18:35,Jadyn Clark,spin-it-forward,38,0,38,41,0.926829268292683,0.0,1.0,5,1,6,2.84375,0.8213922764227642,0.9112466124661247,0.9474671669793621,0.6957735989573636,0.6836699487778337,0.10543699186991873,0.2310556693353194,0.24315931951484926,0.015582655826558267,-0.02063789868667909,33.677083333333336,4.322916666666664,0.10543699186991873
2026-04-11 08:00:00,2026-04-11,2026-04-06/2026-04-12,2026-04,Saturday,Weekend,08:00,08:00,Weekend | 08:00,Kira Rothwell,spin,38,27,11,41,0.926829268292683,0.7105263157894737,0.2894736842105263,1,1,2,2.09375,0.5678353658536586,0.6727642276422765,0.6219512195121951,0.6934146341463415,0.6836699487778337,0.3589939024390244,0.23341463414634145,0.24315931951484926,0.25406504065040647,0.30487804878048785,23.28125,14.71875,0.3589939024390244
2026-04-11 09:00:00,2026-04-11,2026-04-06/2026-04-12,2026-04,Saturday,Weekend,09:00,09:00,Weekend | 09:00,Rich Ang,spin,41,25,16,41,1.0,0.6097560975609756,0.3902439024390244,1,0,1,2.3582089552238807,0.6894794321077539,0.7697560975609755,0.7696476964769647,0.6934146341463415,0.6836699487778337,0.31052056789224614,0.3065853658536585,0.3163300512221663,0.23024390243902448,0.23035230352303526,28.268656716417908,12.731343283582092,0.31052056789224614
